iter	Accuracy	Logloss
0	0.985817942	0.5070647833
1	0.985817942	0.382755684
2	0.985817942	0.2823148249
3	0.985817942	0.21894275
4	0.9887862797	0.1696242328
5	0.9887862797	0.1354113444
6	0.9887862797	0.1100887005
7	0.9887862797	0.08687183546
8	0.9897757256	0.07518402083
9	0.9897757256	0.06198755947
10	0.9901055409	0.05458819506
11	0.9904353562	0.04705741875
12	0.9907651715	0.04195645605
13	0.9914248021	0.03775148135
14	0.9914248021	0.03487651709
15	0.9920844327	0.03185495951
16	0.9917546174	0.02979185124
17	0.992414248	0.02811479287
18	0.992414248	0.02747836556
19	0.992414248	0.0268189214
20	0.9927440633	0.02574055319
21	0.9937335092	0.02423741763
22	0.9940633245	0.0234770383
23	0.9943931398	0.02243525412
24	0.9940633245	0.02137356187
25	0.9940633245	0.02086142519
26	0.9953825858	0.020413252
27	0.9950527704	0.0200187888
28	0.9953825858	0.01883977441
29	0.9953825858	0.01848787233
30	0.9953825858	0.01777522713
31	0.9953825858	0.01737987571
32	0.9957124011	0.01704937185
33	0.9957124011	0.01651816622
34	0.9957124011	0.01625363847
35	0.9957124011	0.01604487498
36	0.9957124011	0.01562159114
37	0.9957124011	0.01535331193
38	0.9957124011	0.01513435612
39	0.9957124011	0.01486907274
40	0.9957124011	0.01474019675
41	0.9960422164	0.0142693177
42	0.9963720317	0.01390089906
43	0.9963720317	0.01356299881
44	0.9963720317	0.0132580934
45	0.9963720317	0.01278992844
46	0.996701847	0.01248906675
47	0.9970316623	0.01190519009
48	0.9973614776	0.01171067839
49	0.9973614776	0.01146919541
50	0.9980211082	0.01122363114
51	0.9980211082	0.01106926089
52	0.9983509235	0.0106432785
53	0.9983509235	0.01049022789
54	0.9983509235	0.01038147564
55	0.9983509235	0.01022910332
56	0.9983509235	0.009957883778
57	0.9983509235	0.009840784765
58	0.9983509235	0.009644544271
59	0.9983509235	0.009543112416
60	0.9983509235	0.009448807579
61	0.9983509235	0.00907910006
62	0.9983509235	0.009039894787
63	0.9983509235	0.008852387164
64	0.9983509235	0.008756688201
65	0.9983509235	0.008692367568
66	0.9986807388	0.008534063299
67	0.9983509235	0.008358868318
68	0.9983509235	0.00823080392
69	0.9986807388	0.008054310487
70	0.9990105541	0.007905247988
71	0.9990105541	0.007803712182
72	0.9993403694	0.007623420398
73	0.9993403694	0.007470227158
74	0.9993403694	0.007310872155
75	0.9993403694	0.007147155334
76	0.9993403694	0.006921865996
77	0.9996701847	0.006825129817
78	0.9996701847	0.006697392913
79	0.9996701847	0.006670890105
80	1	0.006572883574
81	1	0.006377638182
82	1	0.006203792516
83	1	0.006130716185
84	1	0.006081857827
85	1	0.005995838436
86	1	0.005940053304
87	1	0.005810669496
88	1	0.005659414886
89	1	0.005594669034
90	1	0.005502870542
91	1	0.005377926054
92	1	0.005253627717
93	1	0.005149885191
94	1	0.00508285162
95	1	0.00504968601
96	1	0.005023657366
97	1	0.004983867478
98	1	0.004820464312
99	1	0.004607423419
100	1	0.004514744766
101	1	0.004481504236
102	1	0.004416007192
103	1	0.004192626102
104	1	0.004133443716
105	1	0.004079356124
106	1	0.004025745354
107	1	0.003998469241
108	1	0.003939379352
109	1	0.003864971752
110	1	0.00382900598
111	1	0.003779040985
112	1	0.00374797996
